date,open,high,close,low,volume,amount
2014-09-03,2268.395,2290.547,2288.627,2268.1,21247899200,187558379520
2014-09-02,2239.684,2267.509,2266.046,2234.378,19212486400,170931781632
2014-09-01,2220.129,2236.286,2235.511,2217.685,12916658400,117215903744
2014-08-29,2198.946,2218.696,2217.2,2193.263,10520249600,93043875840
2014-08-28,2210.484,2219.473,2195.818,2194.861,12422901600,109266624512
2014-08-27,2207.03,2216.67,2209.465,2204.048,12088588800,104090411008
2014-08-26,2225.291,2232.785,2207.106,2200.618,16350742400,134123069440
2014-08-25,2241.1,2241.553,2229.274,2222.009,16211958400,134450233344
2014-08-22,2228.974,2243.303,2240.812,2225.267,16011168000,140353028096
2014-08-21,2239.568,2240.077,2230.458,2211.63,16573350400,140879626240
2014-08-20,2241.664,2248.939,2240.211,2233.892,16765838400,139628052480
2014-08-19,2242.34,2246.016,2245.33,2227.925,17774459200,155445477376
2014-08-18,2229.804,2242.035,2239.466,2228.134,16392862400,141492846592
2014-08-15,2207.226,2230.872,2226.734,2203.242,14997868800,129406910464
2014-08-14,2221.541,2230.894,2206.466,2204.384,17014912000,141706657792
2014-08-13,2223.051,2230.991,2222.877,2202.443,17806280000,146490785792
2014-08-12,2222.696,2222.979,2221.595,2210.0,15479904000,132393975808
2014-08-11,2199.433,2225.961,2224.654,2198.314,15058342400,126096842752
2014-08-08,2188.709,2199.578,2194.425,2180.597,13518144000,109728989184
2014-08-07,2216.659,2220.568,2187.669,2185.763,17523328000,137306472448
2014-08-06,2212.003,2223.893,2217.465,2192.993,17771171200,140362858496
2014-08-05,2224.632,2226.838,2219.945,2206.85,17538699200,141474529280
2014-08-04,2190.036,2224.068,2223.331,2186.917,17409740800,140088819712
2014-08-01,2194.17,2218.789,2185.303,2184.641,19147504000,151884021760
2014-07-31,2179.543,2202.126,2201.562,2173.9,16469164800,132438450176
2014-07-30,2178.179,2194.572,2181.243,2177.244,18492219200,149566554112
2014-07-29,2179.826,2193.523,2183.192,2172.102,20026425600,159282495488
2014-07-28,2135.249,2181.496,2177.948,2135.249,23618576000,180414431232
2014-07-25,2108.714,2127.217,2126.614,2106.714,14249582400,111411576832
2014-07-24,2079.632,2107.946,2105.062,2079.632,16567699200,128677986304
2014-07-23,2074.195,2088.192,2078.489,2072.229,13729220800,106702127104
2014-07-22,2050.5,2078.085,2075.481,2049.815,12319187200,98702434304
2014-07-21,2057.767,2061.823,2054.479,2049.175,9385787200,75706179584
2014-07-18,2047.498,2067.233,2059.067,2045.996,10664109600,82510266368
2014-07-17,2062.888,2062.888,2055.591,2046.189,10449180800,79106277376
2014-07-16,2068.343,2075.493,2067.276,2061.572,13712801600,102029803520
2014-07-15,2065.9,2070.358,2070.357,2059.679,12448876800,102893912064
2014-07-14,2047.744,2067.342,2066.646,2044.901,11511974400,96357015552
2014-07-11,2033.869,2051.737,2046.961,2033.004,10508808000,86253715456
2014-07-10,2036.54,2045.527,2038.342,2034.956,9794381600,84748632064
2014-07-09,2061.635,2062.474,2038.612,2037.601,11330584000,97183490048
2014-07-08,2058.134,2064.433,2064.021,2047.204,9505339200,81584447488
2014-07-07,2058.128,2064.043,2059.927,2050.887,9716875200,81471315968
2014-07-04,2062.358,2065.078,2059.375,2054.217,10500879200,83596435456
2014-07-03,2051.632,2066.641,2063.229,2048.081,12292658400,96182468608
2014-07-02,2049.485,2060.595,2059.418,2044.035,10955391200,89304981504
2014-07-01,2051.225,2052.635,2050.381,2041.937,9845740800,83499761664
2014-06-30,2038.613,2052.342,2048.327,2038.527,9666660000,80011165696
2014-06-27,2031.907,2043.982,2036.51,2025.073,9759201600,76710584320
2014-06-26,2025.662,2040.754,2038.677,2025.314,8095577600,66534273024
2014-06-25,2030.433,2030.616,2025.502,2018.36,6753960800,55989137408
2014-06-24,2023.699,2034.707,2033.931,2021.75,7121463200,61684912128
2014-06-23,2026.226,2033.32,2024.365,2022.917,7048516000,57772728320
